PERCs,Glycolysis,Glycolysis + Hb,Glycolysis + PFK,Glycolysis + PYK,Glycolysis + Hb + HEX1,Glycolysis + Hb + PFK,Glycolysis + Hb + PYK,Glycolysis + PFK + PYK,Glycolysis + Hb + PFK + PYK,Glycolysis + Hb + HEX1 + PFK,Glycolysis + Hb + HEX1 + PYK,Glycolysis + Hb + HEX1 + PFK + PYK
kf_HEX1,0.700007,0.700007,0.700007,0.700007,-,0.700007,0.700007,0.700007,0.700007,-,-,-
kf_PGI,3644.44,3644.44,3644.44,3644.44,3644.44,3644.44,3644.44,3644.44,3644.44,3644.44,3644.44,3644.44
kf_PFK,35.3688,35.3688,-,35.3688,35.3688,-,35.3688,-,-,-,35.3688,-
kf_FBA,2834.57,2834.57,2834.57,2834.57,2834.57,2834.57,2834.57,2834.57,2834.57,2834.57,2834.57,2834.57
kf_TPI,34.3558,34.3558,34.3558,34.3558,34.3558,34.3558,34.3558,34.3558,34.3558,34.3558,34.3558,34.3558
kf_GAPD,3376.75,3376.75,3376.75,3376.75,3376.75,3376.75,3376.75,3376.75,3376.75,3376.75,3376.75,3376.75
kf_PGK,1273531.27,1273531.27,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000,1020000
kf_PGM,4869.57,4869.57,4869.57,4869.57,4869.57,4869.57,4869.57,4869.57,4869.57,4869.57,4869.57,4869.57
kf_ENO,1763.78,1763.78,1763.78,1763.78,1763.78,1763.78,1763.78,1763.78,1763.78,1763.78,1763.78,1763.78
kf_PYK,454.386,454.386,454.386,-,454.386,454.386,-,-,-,454.386,-,-
kf_LDH_L,1112.57,1112.57,1112.57,1112.57,1112.57,1112.57,1112.57,1112.57,1112.57,1112.57,1112.57,1112.57
kf_DM_amp_e,0.161424,0.161424,0.161424,0.161424,0.161424,0.161424,0.161424,0.161424,0.161424,0.161424,0.161424,0.161424
kf_ADK1,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
kf_EX_pyr_e,744.186,744.186,744.186,744.186,744.186,744.186,744.186,744.186,744.186,744.186,744.186,744.186
kf_EX_lac__L_e,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
kf_ATPM,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
kf_DM_nadh,7.44186,7.44186,7.44186,7.44186,7.44186,7.44186,7.44186,7.44186,7.44186,7.44186,7.44186,7.44186
kf_S_glc__D_e,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12
kf_S_amp_e,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
kf_EX_h_e,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
kf_EX_h2o_e,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
kf_EX_pi_e,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
kf_DPGM,-,1814.81,-,-,1814.81,1814.81,1814.81,-,1814.81,1814.81,1814.81,1814.81
kf_DPGase,-,0.142258,-,-,0.142258,0.142258,0.142258,-,0.142258,0.142258,0.142258,0.142258
kf_HBO1,-,506935,-,-,506935,506935,506935,-,506935,506935,506935,506935
kf_HBO2,-,511077,-,-,511077,511077,511077,-,511077,511077,511077,511077
kf_HBO3,-,509243,-,-,509243,509243,509243,-,509243,509243,509243,509243
kf_HBO4,-,501595,-,-,501595,501595,501595,-,501595,501595,501595,501595
kf_HBDPG,-,519613,-,-,519613,519613,519613,-,519613,519613,519613,519613
kf_EX_o2_e,-,509726,-,-,509726,509726,509726,-,509726,509726,509726,509726
kf_HEX1_1,-,-,-,-,1000000,-,-,-,-,1000000,1000000,1000000
kf_HEX1_2,-,-,-,-,1000000,-,-,-,-,1000000,1000000,1000000
kf_HEX1_G,-,-,-,-,52001,-,-,-,-,52001,52001,52001
kf_HEX1_A,-,-,-,-,9376585,-,-,-,-,9376585,9376585,9376585
kf_HEX1_5,-,-,-,-,1000000,-,-,-,-,1000000,1000000,1000000
kf_HEX1,-,-,-,-,100000000,-,-,-,-,100000000,100000000,100000000
kf_PFK_A,-,-,125000,-,-,125000,-,125000,125000,125000,-,125000
kf_PFK_F,-,-,505000,-,-,505000,-,505000,505000,505000,-,505000
kf_PFK,-,-,307000,-,-,307000,-,307000,307000,307000,-,307000
kf_PFK_ACT,-,-,1000000,-,-,1000000,-,1000000,1000000,1000000,-,1000000
kf_PFK_L,-,-,1E+12,-,-,1E+12,-,1E+12,1E+12,1E+12,-,1E+12
kf_PFK_I,-,-,1000000,-,-,1000000,-,1000000,1000000,1000000,-,1000000
kf_PYK_P,-,-,-,4000000,-,-,4000000,4000000,4000000,-,4000000,4000000
kf_PYK_A,-,-,-,4000000,-,-,4000000,4000000,4000000,-,4000000,4000000
kf_PYK,-,-,-,21500,-,-,21500,21500,21500,-,21500,21500
kf_PYK_ACT,-,-,-,1000000,-,-,1000000,1000000,1000000,-,1000000,1000000
kf_PYK_L,-,-,-,1E+12,-,-,1E+12,1E+12,1E+12,-,1E+12,1E+12
kf_PYK_I,-,-,-,1000000,-,-,1000000,1000000,1000000,-,1000000,1000000
