Flux,Glycolysis,Glycolysis + Hb,Glycolysis + PFK,Glycolysis + PYK,Glycolysis + Hb + HEX1,Glycolysis + Hb + PFK,Glycolysis + Hb + PYK,Glycolysis + PFK + PYK,Glycolysis + Hb + PFK + PYK,Glycolysis + Hb + HEX1 + PFK,Glycolysis + Hb + HEX1 + PYK,Glycolysis + Hb + HEX1 + PFK + PYK,Units
v_HEX1,1.12,1.12,1.12,1.12,-,1.12,1.12,1.12,1.12,-,-,-,mM/hr
v_PGI,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,mM/hr
v_PFK,1.12,1.12,-,1.12,1.12,-,1.12,-,-,-,1.12,-,mM/hr
v_FBA,1.12,1.12,1.12,1.12,1.12,1.12,0.0596306,1.12,1.12,1.12,1.12,1.12,mM/hr
v_TPI,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,mM/hr
v_GAPD,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,mM/hr
v_PGK,2.24,1.799,2.24,2.24,1.80526,1.80526,1.80526,2.24,1.80526,1.80526,1.80526,1.80526,mM/hr
v_PGM,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,mM/hr
v_ENO,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,2.24,mM/hr
v_PYK,2.24,2.24,2.24,-,2.24,2.24,-,-,-,2.24,-,-,mM/hr
v_LDH_L,2.016,2.016,2.016,2.016,2.01596,2.016,2.0159,2.016,2.0159,2.016,2.0159,2.01595,mM/hr
v_DM_amp_e,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,mM/hr
v_ADK1,0,0,-1.38778E-12,0,-1.38778E-12,-1.38778E-12,-1.38778E-12,2.77556E-12,0,-2.77556E-12,0,1.38778E-12,mM/hr
v_EX_pyr_e,0.224,0.224,0.224,0.224,0.224039,0.224,0.224102,0.224,0.224102,0.224,0.224102,0.224102,mM/hr
v_EX_lac__L_e,2.016,2.016,2.016,2.016,2.01596,2.016,2.0159,2.016,2.0159,2.016,2.0159,2.01595,mM/hr
v_ATPM,2.24,2.24,2.24,2.24,1.80526,1.80526,1.80526,2.24,1.80526,1.80526,1.80526,1.80526,mM/hr
v_DM_nadh,0.224,0.224,0.224,0.224,0.224039,0.224,0.224102,0.224,0.224102,0.224,0.224102,0.224049,mM/hr
v_S_glc__D_e,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,mM/hr
v_S_amp_e,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,mM/hr
v_EX_h_e,2.688,2.688,2.688,2.688,1.56808,2.688,2.6882,2.688,2.6882,1.568,1.5682,1.5681,mM/hr
v_EX_h2o_e,0,0,0,0,0,0,0,0,0,0,0,0,mM/hr
v_EX_pi_e,0,0,-6.12843E-16,0,-2.04281E-16,6.12843*10^-16,1.02141E-16,0,1.02141E-16,1.02141E-15,-1.83853E-15,7.14984E-16,mM/hr
v_DPGM,-,0.43474,-,-,0.43474,0.43474,0.43474,-,0.43474,0.43474,0.43474,0.43474,mM/hr
v_DPGase,-,0.43474,-,-,0.43474,0.43474,0.43474,-,0.43474,0.43474,0.43474,0.43474,mM/hr
