Metabolites,Glycolysis,Glycolysis + Hb,Glycolysis + PFK,Glycolysis + PYK,Glycolysis + Hb + HEX1,Glycolysis + Hb + PFK,Glycolysis + Hb + PYK,Glycolysis + PFK + PYK,Glycolysis + Hb + PFK + PYK,Glycolysis + Hb + HEX1 + PFK,Glycolysis + Hb + HEX1 + PYK,Glycolysis + Hb + HEX1 + PFK + PYK,Units
glc__D_c,1,1.24082,1,1,1.0476,1.24082,1.24082,1,1.24082,1.05023,1.0476,1.05023,mM
g6p_c,0.0486,0.0602186,0.0486,0.0486,0.060223,0.0602186,0.0602186,0.0486001,0.0602186,0.323537,0.0602186,0.323537,mM
f6p_c,0.0198,0.0245636,0.0198,0.0198,0.0245654,0.0245636,0.0245636,0.0198,0.0245636,0.132524,0.0245636,0.132524,mM
fdp_c,0.0146,0.00923797,0.0146017,0.0146,0.0120127,0.0145153,0.00923797,0.0146653,0.00923874,0.0145153,0.00923796,0.0114713,mM
dhap_c,0.16,0.130121,0.160009,0.16,0.146442,0.159576,0.130121,0.160326,0.130126,0.159576,0.130121,0.143422,mM
g3p_c,0.00728,0.00557262,0.00728049,0.00728,0.00650524,0.00725579,0.00557262,0.00729861,0.0055729,0.00725579,0.00557261,0.00633269,mM
_13dpg_c,0.000243,0.00024088,0.000243,0.000243,0.00024088,0.00024088,0.00024088,0.000244508,0.000240879,0.00024088,0.00024088,0.00024088,mM
_3pg_c,0.0773,0.085069,0.0773,0.0773,0.085069,0.085069,0.085069,0.0773,0.0850689,0.085069,0.085069,0.085069,mM
_2pg_c,0.0113,0.0124425,0.0113,0.0113,0.0124425,0.0124425,0.0124425,0.0113,0.0124425,0.0124425,0.0124425,0.0124425,mM
pep_c,0.017,0.0189364,0.017,0.017,0.0189364,0.0189364,0.0189364,0.017,0.0189364,0.0189364,0.0189364,0.0189364,mM
pyr_c,0.060301,0.060301,0.060301,0.060301,0.0603011,0.060301,0.0603011,0.060301,0.0603011,0.060301,0.0603011,0.0603011,mM
lac__L_c,1.36,1.36,1.36,1.36,1.35999,1.36,1.35998,1.36,1.35998,1.36,1.35998,1.35999,mM
nad_c,0.0589,0.0589,0.058896,0.0589,0.0656999,0.0589,0.0767035,0.0589,0.0766997,0.0589,0.0767036,0.0674913,mM
nadh_c,0.0301,0.0301,0.0301,0.0301,0.0301052,0.0301,0.0301137,0.0301,0.0301137,0.0301,0.0301137,0.0301066,mM
amp_c,0.0867281,0.0867281,0.0867281,0.0867281,0.0867281,0.0867281,0.0867281,0.0867281,0.0867281,0.0867281,0.0867281,0.0867281,mM
adp_c,0.29,0.260342,0.29,0.29,0.260342,0.260342,0.260342,0.29,0.260342,0.260342,0.260342,0.260342,mM
atp_c,1.6,1.28947,1.6,1.6,1.28947,1.28947,1.28947,1.6,1.28947,1.28947,1.28947,1.28947,mM
pi_c,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.49952,2.5,2.5,2.5,2.5,mM
h_c,8.99757E-05,0.000116856,8.99757E-05,8.99757E-05,0.000105656,0.000116856,0.000116858,8.99757E-05,0.000116858,0.000105656,0.000105658,0.000105657,mM
h2o_c,1,1,1,1,1,1,1,1,1,1,1,1,mM
_23dpg_c,-,3.056,-,-,3.056,3.056,3.056,-,3.05599,3.056,3.056,3.056,mM
dhb_c,-,0.0455578,-,-,0.0455578,0.0455578,0.0455578,-,0.0455577,0.0455578,0.0455578,0.0455578,mM
hb_c,-,0.0596306,-,-,0.0596306,0.0596306,0.0596306,-,0.0596306,0.0596306,0.0596306,0.0596306,mM
hb_1o2_c,-,0.0500897,-,-,0.0500897,0.0500897,0.0500897,-,0.0500897,0.0500897,0.0500897,0.0500897,mM
hb_2o2_c,-,0.0736319,-,-,0.0736319,0.0736319,0.0736319,-,0.0736318,0.0736319,0.0736319,0.0736319,mM
hb_3o2_c,-,0.262866,-,-,0.262866,0.262866,0.262866,-,0.262866,0.262866,0.262866,0.262866,mM
hb_4o2_c,-,6.80822,-,-,6.80822,6.80822,6.80822,-,6.80822,6.80822,6.80822,6.80822,mM
o2_c,-,0.0200788,-,-,0.0200788,0.0200788,0.0200788,-,0.0200788,0.0200788,0.0200788,0.0200788,mM
hex1_c,-,-,-,-,1.26602E-05,-,-,-,-,1.26287E-05,1.26602E-05,1.26287E-05,mM
hex1_A_c,-,-,-,-,7.90244E-06,-,-,-,-,7.88271E-06,7.90244E-06,7.88271E-06,mM
hex1_G_c,-,-,-,-,7.59344E-08,-,-,-,-,8.03489E-08,7.59343E-08,8.03489E-08,mM
hex1_AG_c,-,-,-,-,1.18339E-08,-,-,-,-,4.46448E-08,1.18339E-08,1.45971E-08,mM
hex1_A_PI_c,-,-,-,-,3.29597E-06,-,-,-,-,3.28777E-06,3.29597E-06,3.28777E-06,mM
hex1_G_PI_c,-,-,-,-,1.14365E-08,-,-,-,-,6.12875E-08,1.14357E-08,6.12875E-08,mM
hex1_G_CI_c,-,-,-,-,4.21919E-08,-,-,-,-,1.45971E-08,4.21918E-08,4.46448E-08,mM
pfk_R0_c,-,-,6.43124E-08,-,-,7.21014E-08,-,6.43123E-08,7.21014E-08,4.60333E-08,-,4.60333E-08,mM
pfk_R0_A_c,-,-,7.52783E-07,-,-,6.06796E-07,-,7.52782E-07,6.06796E-07,1.12471E-07,-,1.12471E-07,mM
pfk_R0_AF_c,-,-,2.10548E-08,-,-,2.10548E-08,-,2.10548E-08,2.10548E-08,2.10548E-08,-,2.10548E-08,mM
pfk_R1_c,-,-,6.76084E-07,-,-,7.57966E-07,-,6.76083E-07,7.57966E-07,4.83925E-07,-,4.83925E-07,mM
pfk_R1_A_c,-,-,7.91364E-06,-,-,6.37894E-06,-,7.91362E-06,6.37894E-06,1.18235E-06,-,1.18235E-06,mM
pfk_R1_AF_c,-,-,2.21338E-07,-,-,2.21338E-07,-,2.21338E-07,2.21338E-07,2.21338E-07,-,2.21338E-07,mM
pfk_R2_c,-,-,2.66525E-06,-,-,2.98804E-06,-,2.66525E-06,2.98804E-06,1.90772E-06,-,1.90772E-06,mM
pfk_R2_A_c,-,-,0.000031197,-,-,0.000025147,-,0.000031197,0.000025147,4.66105E-06,-,4.66105E-06,mM
pfk_R2_AF_c,-,-,8.72557E-07,-,-,8.72557E-07,-,8.72557E-07,8.72557E-07,8.72557E-07,-,8.72557E-07,mM
pfk_R3_c,-,-,4.66974E-06,-,-,5.2353E-06,-,4.66974E-06,5.2353E-06,3.34249E-06,-,3.34249E-06,mM
pfk_R3_A_c,-,-,5.46598E-05,-,-,4.40596E-05,-,5.46597E-05,4.40596E-05,8.16655E-06,-,8.16655E-06,mM
pfk_R3_AF_c,-,-,1.52879E-06,-,-,1.52879E-06,-,1.52879E-06,1.52879E-06,1.52879E-06,-,1.52879E-06,mM
pfk_R4_c,-,-,3.06816E-06,-,-,3.43976E-06,-,3.06816E-06,3.43976E-06,2.19612E-06,-,2.19612E-06,mM
pfk_R4_A_c,-,-,3.59132E-05,-,-,2.89485E-05,-,3.59131E-05,2.89485E-05,5.36568E-06,-,5.36568E-06,mM
pfk_R4_AF_c,-,-,1.00446E-06,-,-,1.00446E-06,-,1.00446E-06,1.00446E-06,1.00446E-06,-,1.00446E-06,mM
pfk_T0_c,-,-,7.07436E-11,-,-,7.93115E-11,-,7.07436E-11,7.93115E-11,5.06366E-11,-,5.06366E-11,mM
pfk_T1_c,-,-,4.52759E-09,-,-,4.0908E-09,-,4.52759E-09,4.0908E-09,2.61178E-09,-,2.61178E-09,mM
pfk_T2_c,-,-,1.08662E-07,-,-,7.91245E-08,-,1.08662E-07,7.91245E-08,5.05172E-08,-,5.05172E-08,mM
pfk_T3_c,-,-,1.15906E-06,-,-,6.80191E-07,-,1.15906E-06,6.80192E-07,4.34269E-07,-,4.34269E-07,mM
